ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,SAAddressLine1,SAAddressLine2,SAAddressLine3,SAAddressLine4,SACity,SARegion,SAPostalCode,SACountry,InvoiceNumber,Reference,InvoiceDate,DueDate,PlannedDate,Total,TaxTotal,InvoiceAmountPaid,InvoiceAmountDue,InventoryItemCode,Description,Quantity,UnitAmount,Discount,LineAmount,AccountCode,TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,Type,Sent,Status
EuroInverters Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,,,28/07/2025,27/08/2025,,14022.0000,2622.0000,0.0000,14022.0000,,Inverters — stock,1.0000,11400.0000,,11400.0000,510,23% (VAT on Income),2622.0000,,,,,EUR,Bill,,Awaiting Payment
Reilly & Associates Solicitors,,,,,,,,,Ireland,,,,,,,,Ireland,,,5/08/2025,4/09/2025,,2706.0000,506.0000,0.0000,2706.0000,,Legal/professional fees,1.0000,2200.0000,,2200.0000,640,23% (VAT on Income),506.0000,,,,,EUR,Bill,,Awaiting Payment
O'Sullivan Subcontracting,,,,,,,,,Ireland,,,,,,,,Ireland,,,20/08/2025,19/09/2025,,11685.0000,2185.0000,0.0000,11685.0000,,Subcontractor installation labour,1.0000,9500.0000,,9500.0000,540,23% (VAT on Income),2185.0000,,,,,EUR,Bill,,Awaiting Payment
PowerCell Batteries Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,,,25/10/2025,24/11/2025,,19434.0000,3634.0000,0.0000,19434.0000,,Batteries — stock,1.0000,15800.0000,,15800.0000,520,23% (VAT on Income),3634.0000,,,,,EUR,Bill,,Awaiting Payment
TechWorld Cork,,,,,,,,,Ireland,,,,,,,,Ireland,,,4/11/2025,4/12/2025,,2214.0000,414.0000,0.0000,2214.0000,,Laptop — coded to Office Expenses,1.0000,1800.0000,,1800.0000,632,23% (VAT on Income),414.0000,,,,,EUR,Bill,,Awaiting Payment
AA Fleet Insurance,,,,,,,,,Ireland,,,,,,,,Ireland,,,5/11/2025,5/12/2025,,1968.0000,368.0000,0.0000,1968.0000,,Company van running costs — insurance top-up,1.0000,1600.0000,,1600.0000,600,23% (VAT on Income),368.0000,,,,,EUR,Bill,,Awaiting Payment
CarZone Cork,,,,,,,,,Ireland,,,,,,,,Ireland,,,10/11/2025,10/12/2025,,30750.0000,5750.0000,30750.0000,0.0000,,Company van — correctly capitalised,1.0000,25000.0000,,25000.0000,710,23% (VAT on Income),5750.0000,,,,,EUR,Bill,,Paid
Eircom Business,,,,,,,,,Ireland,,,,,,,,Ireland,,,15/11/2025,15/12/2025,,418.2000,78.2000,0.0000,418.2000,,Business telephone/broadband,1.0000,340.0000,,340.0000,620,23% (VAT on Income),78.2000,,,,,EUR,Bill,,Awaiting Payment
ToolMaster Ireland,,,,,,,,,Ireland,,,,,,,,Ireland,,,18/11/2025,18/12/2025,,4920.0000,920.0000,4920.0000,0.0000,,Tools & equipment — correctly capitalised,1.0000,4000.0000,,4000.0000,720,23% (VAT on Income),920.0000,,,,,EUR,Bill,,Paid
O'Sullivan Subcontracting,,,,,,,,,Ireland,,,,,,,,Ireland,,,5/12/2025,4/01/2026,,12054.0000,2254.0000,12054.0000,0.0000,,Subcontractor installation labour,1.0000,9800.0000,,9800.0000,540,23% (VAT on Income),2254.0000,,,,,EUR,Bill,,Paid
SolarTech Distribution Ltd,,,,,,,,,Ireland,,,,,,,,Ireland,,,12/12/2025,11/01/2026,,30135.0000,5635.0000,30135.0000,0.0000,,Solar panels — stock,1.0000,24500.0000,,24500.0000,500,23% (VAT on Income),5635.0000,,,,,EUR,Bill,,Paid
